어휘,품사,뜻풀이
기술사용권,품사 없음,특허권이나 실용 신안권과 같은 산업 재산권과 특허청에 아직 등록이 되어 있지 않은 비결이나 제조 기술 따위에 대하여l 실질적인 기술의 소유자와 일정한 계약을 맺음으로써 해당 기술을 사용하고 수익할 수 있는 권리.
기술사용협정,품사 없음,상대국에 기술료를 지급하여 확보한 실시권l 재시실권l 특허 사용권 따위에 관한 조항을 담은 상호 협정.
기술사회,품사 없음,정치적l 사회적l 경제적 문제를 과학 기술을 이용하여 해결하려는 사회.
기술상,명사,운동 경기에서l 특별히 우수한 기술을 발휘했거나 기록을 낸 선수에게 주는 상.
기술서,명사,기술을 익히는 데 도움이 되는 책.
기술 서적,품사 없음,어떤 분야의 기술에 대한 이론과 실제의 내용을 담은 책.
기술선,명사,바다와 하천의 공사에 필요한 기술적 작업을 할 수 있는 설비를 갖춘 배. 시추선l 기중기선l 준설선l 돌 운반선 따위가 있다.
기술선박,명사,바다와 하천의 공사에 필요한 기술적 작업을 할 수 있는 설비를 갖춘 배. 시추선l 기중기선l 준설선l 돌 운반선 따위가 있다.
기술설계,명사,‘실시 설계’의 북한어.
기술설계서,명사,‘실시 설계도’의 북한어.
기술설명,품사 없음,정보 처리에서 발생하는 문제를 언어로 나타내는 일.
기술설명회,품사 없음,애널리스트나 기관 투자자들에게 기술에 대한 지식을 높일 기회를 제공하기 위해 여는 설명회.
기술설비층,명사,기술 설비를 집중적으로 배치하기 위하여 계획한 층. 보통 수십 층으로 된 고층 건물들에 있다.
기술성,명사,기술이 가지는 역할과 작용 효과의 정도.
기술성능척도,품사 없음,특정 장비나 제품l 혹은 시스템 따위가 기술적으로 요구되는 사항이나 본래의 성능 목표치를 달성한 정도를 계량화하여 나타낸 값.
기술성숙도,품사 없음,특정한 기술의 숙성 정도를 평가하고 다른 유형의 기술 숙성 정도와 비교하기 위하여 개발한 체계적인 측정 기준.
기술속도,명사,열차가 일정한 구간을 달릴 때 중간역에서 정차하는 시간을 고려하지 않고 계산한 열차의 평균 속도. 철도 운수에서 열차 운행의 질을 평가하는 기본 지표의 하나이다.
기술속박,품사 없음,기술이나 사상이 사회적ㆍ정치적 체계에 편입되어 쉽게 그것을 추종하는 사람들이 많아지면서 시간과 장소를 초월하여 변화나 개혁을 저해하게 되는 현상.
기술수당,품사 없음,국가 기술 자격법에 의한 자격증을 취득한 자로서 기술l 기능 분야 자격증 소지자에게 지급하는 수당.
