어휘,품사,뜻풀이
존립하다,동사,생존하여 자립하다.
존마게,명사,에도 시대에 유행한 일본 상투. 이마에서 정수리까지의 머리는 밀고 옆머리와 뒷머리를 길러서 상투를 틀었다.
존망,명사,존속과 멸망 또는 생존과 사망을 아울러 이르는 말.
존망지추,명사,존속과 멸망l 또는 생존과 사망이 결정되는 아주 절박한 경우나 시기.
존머천다이징,품사 없음,판매 촉진을 위하여 상품을 특징이나 용도별로 분류해 기획하고 설계하는 일. 디자인 경향이나 색l 재료 따위로 분류하여 상품의 구성 비율l 판매 방식l 전시 방식l 유통 방식을 정한다.
존메이올앤드블루스브레이커스,품사 없음,영국 출신의 블루스 밴드(1963~2008). 영국 출신의 블루스 보컬 겸 기타리스트 <FL>메이올</FL>이 이끄는 블루스 밴드로 <FL>클랩튼</FL>l <FL>브루스</FL>(Brucel J.) 따위의 수많은 유명 뮤지션을 배출하였으며l 브리티시 블루스를 이끄는 대표적인 밴드로 손꼽힌다. ⇒규범 표기는 미확정이다.
존멜팅,품사 없음,불순물이 포함된 물질에서 순수한 단결정을 정제하는 방법의 하나. 결정체의 일부만 녹여서 녹은 부분을 옮길 때l 불순물이 함께 끝부분으로 밀려나는 작용을 이용한다. ⇒규범 표기는 미확정이다.
존면,명사,남의 얼굴을 높여 이르는 말.
존멸,명사,존속과 멸망 또는 생존과 사망을 아울러 이르는 말.
존멸하다,동사,존속하거나 멸망하다. 또는 생존하거나 사망하다.
존명,명사,살아서 목숨을 유지함. 또는 그 목숨.
존명하다,동사,살아서 목숨을 유지하다.
존모,명사,남의 어머니를 높여 이르는 말.
존모하다,동사,존경하여 그리워하다.
존몰,명사,존속과 멸망 또는 생존과 사망을 아울러 이르는 말.
존무,명사,존재함과 없음.
존무하다,동사,위로하고 어루만지다.
존문,명사,안부를 물음.
존문장,명사,고을의 원이 존문하겠다는 뜻을 적어 보내던 편지.
존문편지,품사 없음,고을의 원이 존문하겠다는 뜻을 적어 보내던 편지.
존문하다,동사,안부를 묻다.
존 밀턴,품사 없음,영국의 시인(1608~1674). 종교 개혁 정신의 부흥l 정치적 자유l 공화제 따위를 지지하다가 탄압을 받고l 실명(失明)과 아내를 잃은 비운을 달래면서 대작 <실낙원>을 썼다. 작품에 <복낙원(復樂園)>l <투기사 삼손> 따위가 있다.
존발,명사,셈 따위에서l 어떤 것을 남겨 두거나 빼어 버림.
